ds,y,yhat,yhat_lower,yhat_upper,anomaly
2022-10-31 00:00:00,1.8905,2.716346222390514,0.7361981433582275,4.731318022811061,0
2022-10-31 01:00:00,1.1097,1.8854864338822526,-0.03422268698163139,3.8756734977315186,0
2022-10-31 02:00:00,0.3923,1.1482862093484254,-1.0718949251157863,3.2464606993779537,0
2022-10-31 03:00:00,0.2812,0.45136206489155484,-1.490317824002785,2.4712526857701365,0
2022-10-31 04:00:00,0.35450000000000004,0.05746525946983727,-2.040332928573633,2.0617599121506243,0
2022-10-31 05:00:00,0.9077000000000001,0.34107311973804677,-1.7706236627884144,2.4832239434458616,0
2022-10-31 06:00:00,1.6811,1.407937924810641,-0.7441415012332069,3.5013798868696626,0
2022-10-31 07:00:00,3.6835,2.920652195488739,0.8541655079037052,5.079880100899736,0
2022-10-31 08:00:00,6.3546000000000005,4.320194847933773,2.243265110972085,6.493678801916788,0
2022-10-31 09:00:00,5.5375,5.247567937500334,3.268952500579904,7.271781795530443,0
2022-10-31 10:00:00,6.2001,5.77306217835332,3.5683217453556004,7.855728162154121,0
2022-10-31 11:00:00,5.7155000000000005,6.228971914735433,4.147530558456877,8.401943367934976,0
2022-10-31 12:00:00,7.6061,6.827639581331422,4.730466763360521,9.010797809595081,0
2022-10-31 13:00:00,7.2005,7.4475845169753825,5.324438668884495,9.46228969303243,0
2022-10-31 14:00:00,7.268599999999999,7.789327876097108,5.623277033183707,9.853677590415309,0
2022-10-31 15:00:00,6.4379,7.724228271934428,5.527710090077248,9.776956055711727,0
2022-10-31 16:00:00,5.8294,7.464753435618178,5.254571698204663,9.664891494514588,0
2022-10-31 17:00:00,6.026,7.3682083070228614,5.259050311156168,9.324644823717254,0
2022-10-31 18:00:00,6.7637,7.56260536433336,5.600762471205621,9.603496952702086,0
2022-10-31 19:00:00,7.8988000000000005,7.773284905156951,5.798072049519075,9.882898455509345,0
2022-10-31 20:00:00,7.771799999999999,7.538668708520892,5.546993400150542,9.565226974923862,0
2022-10-31 21:00:00,6.7135,6.6205376666956495,4.591156532352623,8.733493107831363,0
2022-10-31 22:00:00,4.6363,5.219907980718687,3.260134487365027,7.446807124773881,0
2022-10-31 23:00:00,3.0008999999999997,3.798259425260146,1.6358968380990195,5.921412358462457,0
2022-11-01 00:00:00,1.9219000000000002,2.6882876833276947,0.6321590686564497,4.882317718321795,0
2022-11-01 01:00:00,1.2614,1.8765464384947745,-0.18078727411467288,3.9102242040965596,0
2022-11-01 02:00:00,0.5212,1.1570662821588833,-0.9389505081724567,3.163522357793018,0
2022-11-01 03:00:00,0.4377,0.4763949978725792,-1.622618625948219,2.6532985135450806,0
2022-11-01 04:00:00,0.45480000000000004,0.09723396004996587,-1.8764600169148555,2.234185295955496,0
2022-11-01 05:00:00,0.2213,0.3940292974535877,-1.7634470043655548,2.5167506614293083,0
2022-11-01 06:00:00,1.6132,1.472520391421487,-0.4419696151590743,3.541783743863803,0
2022-11-01 07:00:00,4.0713,2.995304562548262,0.8325203781298682,5.232087776610392,0
2022-11-01 08:00:00,4.869999999999999,4.403382417662064,2.423934994359127,6.483955128541502,0
2022-11-01 09:00:00,6.2393,5.337793596875388,3.1940753799628103,7.598800088373936,0
2022-11-01 10:00:00,7.6015,5.868881122806817,3.7784827631340256,7.93112904822618,0
2022-11-01 11:00:00,6.9997,6.329005046300048,4.341137344201244,8.471968409264697,0
2022-11-01 12:00:00,6.904299999999999,6.930585446346839,4.800676409494659,8.961284111503488,0
2022-11-01 13:00:00,8.3068,7.552229670160235,5.525240414175292,9.713915828507941,0
2022-11-01 14:00:00,8.6113,7.894555580769195,5.787544479343706,10.04854506044965,0
2022-11-01 15:00:00,8.7774,7.829025469977945,5.576972430214578,10.032447864028958,0
2022-11-01 16:00:00,9.0382,7.568215945222606,5.614180514742297,9.515111184784528,0
2022-11-01 17:00:00,6.9085,7.469544230943351,5.415991817356601,9.644291384252037,0
2022-11-01 18:00:00,9.193100000000001,7.661136716018822,5.575350498382026,9.793758700162247,0
2022-11-01 19:00:00,8.0546,7.868447484388202,5.760065086870639,9.973343180952726,0
2022-11-01 20:00:00,7.7403,7.630010281718128,5.575956361464769,9.681738565844372,0
2022-11-01 21:00:00,8.4421,6.707714529613857,4.671566507279196,8.965767823000792,0
2022-11-01 22:00:00,6.1347,5.302680003067817,3.217351296876406,7.348265791388141,0
2022-11-01 23:00:00,5.1219,3.876483695117554,1.756475180236155,6.039955816319531,0
2022-11-02 00:00:00,5.1846,2.7619108855698835,0.6186814010847058,4.8758790684014075,1
2022-11-02 01:00:00,3.2178000000000004,1.9455961263644403,-0.1481699069973392,3.9874446220990247,0
2022-11-02 02:00:00,1.7276,1.2216412019464102,-0.9210432138318623,3.237693991460673,0
2022-11-02 03:00:00,1.3911,0.5366546460969355,-1.598819019239034,2.760034218958094,0
2022-11-02 04:00:00,0.9756,0.15338755898938228,-1.999979486861529,2.301316771969671,0
2022-11-02 05:00:00,0.9312999999999999,0.44632438063511337,-1.7646851355728457,2.488238278593796,0
2022-11-02 06:00:00,0.9364,1.521231194365607,-0.453098902385158,3.7029377929401495,0
2022-11-02 07:00:00,2.5947,3.0407204145314517,0.8562992732277991,5.121669274779981,0
2022-11-02 08:00:00,3.3329,4.445796328027207,2.447735726772894,6.518936507752421,0
2022-11-02 09:00:00,5.0206,5.37749122416527,3.3035254954007747,7.389386445174942,0
2022-11-02 10:00:00,4.8531,5.90613030883668,3.915397485514839,8.098393632779649,0
2022-11-02 11:00:00,6.3575,6.364046084934412,4.1858075330535485,8.369716871999108,0
2022-11-02 12:00:00,6.417,6.96362224647544,4.83231492077636,8.79848301186858,0
2022-11-02 13:00:00,6.347300000000001,7.583421956720869,5.535004586504414,9.854273140929507,0
2022-11-02 14:00:00,7.5001,7.924012261279568,5.735976477006939,10.085442945409076,0
2022-11-02 15:00:00,7.5525,7.856799275292922,5.867574128650551,9.849756170722005,0
2022-11-02 16:00:00,6.4102,7.5942994342318135,5.419133798430431,9.752703311189364,0
2022-11-02 17:00:00,6.2414000000000005,7.493867226798418,5.458077582523242,9.627320825074309,0
2022-11-02 18:00:00,6.5272,7.683565220012815,5.668620794673906,9.70428114773003,0
2022-11-02 19:00:00,10.2532,7.8887840906589215,5.745279215800223,10.035472523912158,1
2022-11-02 20:00:00,7.293,7.647996090934406,5.595783583680003,9.804311931362673,0
2022-11-02 21:00:00,5.5822,6.7230325465054355,4.675289373803994,8.82070613180882,0
2022-11-02 22:00:00,4.1961,5.314959959633878,3.1614191788426997,7.444849428183816,0
2022-11-02 23:00:00,3.4093999999999998,3.8853082415106153,1.7487882812125226,5.946412347133873,0
2022-11-03 00:00:00,2.2403,2.766823054045726,0.6820846955231556,4.734332192557298,0
2022-11-03 01:00:00,2.1037000000000003,1.9461079609853313,-0.20827130942830344,4.055569371815586,0
2022-11-03 02:00:00,0.8826999999999999,1.2172434252957474,-0.6690471819944032,3.5147304442030958,0
2022-11-03 03:00:00,0.2357,0.5268272179049944,-1.6313492789018968,2.681744472868877,0
2022-11-03 04:00:00,0.5054,0.13761096655750826,-1.8666517666408649,2.181663185189068,0
2022-11-03 05:00:00,0.6943,0.4240914881649944,-1.6308752754600209,2.479406851153894,0
2022-11-03 06:00:00,2.2178,1.4920594678452397,-0.7937535643244288,3.616061066636686,0
2022-11-03 07:00:00,3.9255000000000004,3.004164330885751,0.840588593123004,5.063184733616597,0
2022-11-03 08:00:00,5.6235,4.401459771846594,2.1723584144219514,6.6442223079637825,0
2022-11-03 09:00:00,4.8319,5.325039673143599,3.354971654395143,7.416181404832418,0
2022-11-03 10:00:00,5.7568,5.845302607833264,3.841315722423845,7.7933639089098765,0
2022-11-03 11:00:00,7.5253000000000005,6.2946656137395385,4.297627766588624,8.420692556438182,0
2022-11-03 12:00:00,7.7699,6.885607289876049,4.75935030099142,8.923518914268781,0
2022-11-03 13:00:00,8.8748,7.496795094842239,5.391023565189908,9.584443557475764,0
2022-11-03 14:00:00,7.001199999999999,7.828908608867232,5.916834052796774,9.751462526892105,0
2022-11-03 15:00:00,6.709999999999999,7.753473412360028,5.875079958776424,9.801919372713385,0
2022-11-03 16:00:00,8.3387,7.483130885317114,5.407998032776143,9.531700865336134,0
2022-11-03 17:00:00,7.441000000000001,7.375364364829201,5.428074062318725,9.296578128102837,0
2022-11-03 18:00:00,9.3095,7.558367489869987,5.3528691471037,9.577495928884447,0
2022-11-03 19:00:00,7.9166,7.757662468814004,5.697793968219373,10.021867755202194,0
2022-11-03 20:00:00,7.922000000000001,7.511851722638053,5.517872351204494,9.693341300930847,0
2022-11-03 21:00:00,6.6370000000000005,6.582893515682087,4.558817093675241,8.710773983088806,0
2022-11-03 22:00:00,4.0401,5.171976190381472,3.0820667245782913,7.372483756205344,0
2022-11-03 23:00:00,3.7796999999999996,3.7407445364916674,1.653730704236859,5.965611981079193,0
2022-11-04 00:00:00,2.1973,2.6220503093171965,0.5328098510682622,4.859911381999941,0
2022-11-04 01:00:00,0.8823,1.8025926193415671,-0.15925230668451917,3.8716355113705125,0
2022-11-04 02:00:00,0.4595,1.0765352558604286,-0.9848342968478437,3.130565865493644,0
2022-11-04 03:00:00,0.6333,0.390545532881009,-1.8080005724032413,2.434421303658175,0
2022-11-04 04:00:00,0.5938,0.007429407647045139,-1.8673421980754288,2.220814421360557,0
2022-11-04 05:00:00,0.7729,0.301721537547313,-1.7614874644877667,2.21222594104461,0
2022-11-04 06:00:00,1.8877,1.379232857084796,-0.726357193013443,3.342593429322498,0
2022-11-04 07:00:00,4.8511,2.902614538755295,0.6704555858301383,4.977694780240686,0
2022-11-04 08:00:00,4.668,4.312902817129014,2.1977507791448896,6.379669880643963,0
2022-11-04 09:00:00,4.6724,5.25115442117776,3.2321579596216106,7.395295812333252,0
2022-11-04 10:00:00,6.3413,5.787710819604666,3.7150283887829794,7.768591287442426,0
2022-11-04 11:00:00,5.4856,6.254911973680697,4.081157764802144,8.16827225573243,0
2022-11-04 12:00:00,5.9372,6.865139652966009,4.819951649999652,9.03365880994222,0
2022-11-04 13:00:00,6.4846,7.49694519508156,5.445270641893618,9.456806801661891,0
2022-11-04 14:00:00,8.3687,7.850873469687025,5.766771067998431,9.97022469105867,0
2022-11-04 15:00:00,7.342300000000001,7.798297695024871,5.865065517307013,9.868988985609287,0
2022-11-04 16:00:00,7.9062,7.551690403850975,5.487060658807921,9.774043578552993,0
2022-11-04 17:00:00,7.4864999999999995,7.468350985961454,5.344885665108636,9.560887064252887,0
2022-11-04 18:00:00,7.6976,7.676275621766317,5.4590421325388565,9.839539634541602,0
2022-11-04 19:00:00,6.638199999999999,7.900777329754222,5.917276745133424,9.87370773942633,0
2022-11-04 20:00:00,7.8225,7.680239559043299,5.595803016932224,9.778777319547855,0
2022-11-04 21:00:00,6.0626999999999995,6.776393920082606,4.721948026120794,8.836342719081527,0
2022-11-04 22:00:00,6.177899999999999,5.390196647439576,3.3603053172730792,7.501753004251736,0
