y,ds
0.10186666666666666,2023-08-03 01:02:36.663644605
0.08106666666666666,2023-08-03 02:05:13.327289210
0.041666666666666664,2023-08-03 03:07:49.990933815
0.04239999999999999,2023-08-03 04:10:26.654578420
0.09063333333333334,2023-08-03 05:13:03.318223025
0.43566666666666665,2023-08-03 06:15:39.981867630
0.7335666666666668,2023-08-03 07:18:16.645512235
1.3085000000000002,2023-08-03 08:20:53.309156840
1.5046333333333333,2023-08-03 09:23:29.972801445
1.5606666666666669,2023-08-03 10:26:06.636446050
1.0990333333333335,2023-08-03 11:28:43.300090655
0.7681000000000001,2023-08-03 12:31:19.963735260
0.5517333333333334,2023-08-03 13:33:56.627379865
0.6242666666666667,2023-08-03 14:36:33.291024470
0.7816333333333333,2023-08-03 15:39:09.954669075
0.7910666666666667,2023-08-03 16:41:46.618313680
0.7178666666666668,2023-08-03 17:44:23.281958285
0.6600000000000001,2023-08-03 18:46:59.945602890
0.7899333333333334,2023-08-03 19:49:36.609247495
0.7291,2023-08-03 20:52:13.272892100
0.6880333333333333,2023-08-03 21:54:49.936536705
0.6009333333333334,2023-08-03 22:57:26.600181310
0.6003333333333334,2023-08-04 00:00:03.263825915
0.5253666666666668,2023-08-04 01:02:39.927470520
0.5099000000000001,2023-08-04 02:05:16.591115125
0.45193333333333346,2023-08-04 03:07:53.254759730
0.3071333333333334,2023-08-04 04:10:29.918404335
0.15786666666666674,2023-08-04 05:13:06.582048940
0.33583333333333343,2023-08-04 06:15:43.245693545
0.44003333333333344,2023-08-04 07:18:19.909338150
0.9084,2023-08-04 08:20:56.572982755
1.0683,2023-08-04 09:23:33.236627360
1.3095333333333334,2023-08-04 10:26:09.900271965
1.2179,2023-08-04 11:28:46.563916570
1.1803666666666668,2023-08-04 12:31:23.227561175
1.0311000000000001,2023-08-04 13:33:59.891205780
0.7734333333333333,2023-08-04 14:36:36.554850385
0.6195333333333334,2023-08-04 15:39:13.218494990
0.553,2023-08-04 16:41:49.882139595
0.5659333333333334,2023-08-04 17:44:26.545784200
0.6166333333333334,2023-08-04 18:47:03.209428805
0.7213000000000002,2023-08-04 19:49:39.873073410
0.7200333333333334,2023-08-04 20:52:16.536718015
0.5861666666666667,2023-08-04 21:54:53.200362620
0.43370000000000003,2023-08-04 22:57:29.864007225
0.3698333333333334,2023-08-05 00:00:06.527651830
0.43960000000000005,2023-08-05 01:02:43.191296435
0.7909666666666668,2023-08-05 02:05:19.854941040
0.9014000000000001,2023-08-05 03:07:56.518585645
0.8887,2023-08-05 04:10:33.182230250
0.5214333333333334,2023-08-05 05:13:09.845874855
